Student_ID,DOA,DOB,Department_Choices,Department_Admission
SID20131931,1/7/2013,5/2/1996,IDEPT4670,IDEPT4670
SID20131936,1/7/2013,23/10/1995,IDEPT8598,IDEPT8598
SID20131943,1/7/2013,2/1/1996,IDEPT7626,IDEPT7626
SID20131946,1/7/2013,24/2/1996,IDEPT3062,IDEPT3062
SID20131949,1/7/2013,1/10/1995,IDEPT8313,IDEPT8313
SID20131978,1/7/2013,18/4/1996,IDEPT4670,IDEPT4670
SID20131983,1/7/2013,24/8/1995,IDEPT1677,IDEPT1677
SID20131998,1/7/2013,16/11/1995,IDEPT8825,IDEPT8825
SID20132012,1/7/2013,21/9/1995,IDEPT1836,IDEPT1836
SID20132013,1/7/2013,27/10/1995,IDEPT8598,IDEPT8598
SID20132032,1/7/2013,13/7/1995,IDEPT8313,IDEPT8313
SID20132095,1/7/2013,3/8/1995,IDEPT5528,IDEPT5528
SID20132095,1/7/2013,3/8/1995,IDEPT1533,IDEPT5528
SID20132136,1/7/2013,24/9/1995,IDEPT1677,IDEPT1677
SID20132137,1/7/2013,31/5/1996,IDEPT8313,IDEPT8313
SID20132171,1/7/2013,27/11/1995,IDEPT3115,IDEPT3115
SID20132193,1/7/2013,5/11/1995,IDEPT4055,IDEPT4055
SID20132193,1/7/2013,5/11/1995,IDEPT4938,IDEPT4055
SID20132211,1/7/2013,5/7/1996,IDEPT5127,IDEPT5127
SID20132217,1/7/2013,19/5/1996,IDEPT8473,IDEPT8473
SID20132222,1/7/2013,12/8/1995,IDEPT3778,IDEPT3778
SID20132245,1/7/2013,12/9/1995,IDEPT2054,IDEPT2054
SID20132258,1/7/2013,9/4/1996,IDEPT3115,IDEPT3115
SID20132300,1/7/2013,19/1/1996,IDEPT2425,IDEPT2425
SID20132300,1/7/2013,19/1/1996,IDEPT3868,IDEPT2425
SID20132304,1/7/2013,6/8/1995,IDEPT8379,IDEPT8379
SID20132356,1/7/2013,8/7/1995,IDEPT3868,IDEPT3868
SID20132360,1/7/2013,28/2/1996,IDEPT8313,IDEPT8313
SID20132369,1/7/2013,21/10/1995,IDEPT8313,IDEPT8313
SID20132371,1/7/2013,17/6/1996,IDEPT6347,IDEPT6347
SID20132382,1/7/2013,23/6/1996,IDEPT4670,IDEPT4670
SID20132388,1/7/2013,18/4/1996,IDEPT3115,IDEPT3115
SID20132422,1/7/2013,11/8/1995,IDEPT8473,IDEPT8473
SID20132424,1/7/2013,18/5/1996,IDEPT6347,IDEPT6347
SID20132440,1/7/2013,8/5/1996,IDEPT8598,IDEPT8598
SID20132511,1/7/2013,27/7/1995,IDEPT1378,IDEPT1378
SID20132513,1/7/2013,6/6/1996,IDEPT3062,IDEPT3062
SID20132530,1/7/2013,14/10/1995,IDEPT1836,IDEPT1836
SID20132536,1/7/2013,6/12/1995,IDEPT5127,IDEPT5127
SID20132556,1/7/2013,27/2/1996,IDEPT4132,IDEPT4132
SID20132572,1/7/2013,14/3/1996,IDEPT3868,IDEPT3868
SID20132579,1/7/2013,20/8/1995,IDEPT1677,IDEPT1677
SID20132626,1/7/2013,20/4/1996,IDEPT2054,IDEPT2054
SID20132627,1/7/2013,24/8/1995,IDEPT8379,IDEPT8379
SID20132638,1/7/2013,27/1/1996,IDEPT2357,IDEPT2357
SID20132654,1/7/2013,10/11/1995,IDEPT1367,IDEPT1367
SID20132664,1/7/2013,25/11/1995,IDEPT2425,IDEPT2425
SID20132672,1/7/2013,29/3/1996,IDEPT4132,IDEPT4132
SID20132704,1/7/2013,18/4/1996,IDEPT7783,IDEPT7783
SID20132710,1/7/2013,20/6/1996,IDEPT8473,IDEPT8473
SID20132735,1/7/2013,19/11/1995,IDEPT1677,IDEPT1677
SID20132741,1/7/2013,28/9/1995,IDEPT1388,IDEPT1388
SID20132743,1/7/2013,2/7/1996,IDEPT1836,IDEPT1836
SID20132744,1/7/2013,28/7/1995,IDEPT8598,IDEPT8598
SID20132766,1/7/2013,13/4/1996,IDEPT1378,IDEPT1378
SID20132775,1/7/2013,31/8/1995,IDEPT1367,IDEPT1367
SID20132777,1/7/2013,4/11/1995,IDEPT8313,IDEPT8313
SID20132800,1/7/2013,5/2/1996,IDEPT5528,IDEPT5528
SID20132816,1/7/2013,16/8/1995,IDEPT8825,IDEPT8825
SID20132830,1/7/2013,30/12/1995,IDEPT1423,IDEPT1423
SID20132830,1/7/2013,30/12/1995,IDEPT1378,IDEPT1423
SID20132838,1/7/2013,29/8/1995,IDEPT3062,IDEPT3062
SID20132839,1/7/2013,9/9/1995,IDEPT8313,IDEPT8313
SID20132852,1/7/2013,28/2/1996,IDEPT3778,IDEPT3778
SID20132856,1/7/2013,19/4/1996,IDEPT4132,IDEPT4132
SID20132880,1/7/2013,10/12/1995,IDEPT5881,IDEPT5881
SID20132884,1/7/2013,2/8/1995,IDEPT2425,IDEPT2425
SID20132894,1/7/2013,19/2/1996,IDEPT4308,IDEPT4308
SID20132910,1/7/2013,5/5/1996,IDEPT3115,IDEPT3115
SID20132911,1/7/2013,30/11/1995,IDEPT1533,IDEPT1533
SID20132913,1/7/2013,27/11/1995,IDEPT4132,IDEPT4132
SID20132917,1/7/2013,12/2/1996,IDEPT5109,IDEPT5109
SID20132928,1/7/2013,25/11/1995,IDEPT8379,IDEPT8379
SID20132939,1/7/2013,11/9/1995,IDEPT4308,IDEPT4308
SID20132952,1/7/2013,12/5/1996,IDEPT1677,IDEPT1677
SID20132992,1/7/2013,4/6/1996,IDEPT4132,IDEPT4132
SID20132995,1/7/2013,11/1/1996,IDEPT5127,IDEPT5127
SID20133005,1/7/2013,18/4/1996,IDEPT8598,IDEPT8598
SID20133006,1/7/2013,9/8/1995,IDEPT2425,IDEPT2425
SID20133032,1/7/2013,17/12/1995,IDEPT1142,IDEPT1142
SID20133050,1/7/2013,13/7/1995,IDEPT8598,IDEPT8598
SID20133068,1/7/2013,25/10/1995,IDEPT2054,IDEPT2054
SID20133084,1/7/2013,23/4/1996,IDEPT8473,IDEPT8473
SID20133095,1/7/2013,2/3/1996,IDEPT1096,IDEPT1096
SID20133098,1/7/2013,7/11/1995,IDEPT3778,IDEPT3778
SID20133098,1/7/2013,7/11/1995,IDEPT2601,IDEPT3778
SID20133106,1/7/2013,26/7/1995,IDEPT2425,IDEPT2425
SID20133111,1/7/2013,7/11/1995,IDEPT4670,IDEPT4670
SID20133120,1/7/2013,21/7/1995,IDEPT7005,IDEPT7005
SID20133121,1/7/2013,8/12/1995,IDEPT4938,IDEPT4938
SID20133123,1/7/2013,7/7/1995,IDEPT1537,IDEPT1537
SID20133184,1/7/2013,16/1/1996,IDEPT7626,IDEPT7626
SID20133204,1/7/2013,7/6/1996,IDEPT1836,IDEPT1836
SID20133211,1/7/2013,22/7/1995,IDEPT4670,IDEPT4670
SID20133222,1/7/2013,13/9/1995,IDEPT2425,IDEPT2425
SID20133223,1/7/2013,24/4/1996,IDEPT1388,IDEPT1388
SID20133226,1/7/2013,16/1/1996,IDEPT1378,IDEPT1378
SID20133235,1/7/2013,26/9/1995,IDEPT8598,IDEPT8598
SID20133262,1/7/2013,2/5/1996,IDEPT5528,IDEPT5528
SID20133276,1/7/2013,12/3/1996,IDEPT3062,IDEPT3062
SID20133282,1/7/2013,29/3/1996,IDEPT2054,IDEPT2054
SID20133286,1/7/2013,20/10/1995,IDEPT2357,IDEPT2357
SID20133306,1/7/2013,16/3/1996,IDEPT5109,IDEPT5109
SID20133308,1/7/2013,1/6/1996,IDEPT8473,IDEPT8473
SID20133311,1/7/2013,12/3/1996,IDEPT3778,IDEPT3778
SID20133314,1/7/2013,27/9/1995,IDEPT1533,IDEPT1533
SID20133325,1/7/2013,29/2/1996,IDEPT3115,IDEPT3115
SID20133342,1/7/2013,23/5/1996,IDEPT5528,IDEPT5528
SID20133350,1/7/2013,26/7/1995,IDEPT2054,IDEPT2054
SID20133376,1/7/2013,18/8/1995,IDEPT4308,IDEPT4308
SID20133385,1/7/2013,31/7/1995,IDEPT3868,IDEPT3868
SID20133388,1/7/2013,20/12/1995,IDEPT1388,IDEPT1388
SID20133390,1/7/2013,5/6/1996,IDEPT1142,IDEPT1142
SID20133413,1/7/2013,30/4/1996,IDEPT4055,IDEPT4055
SID20133435,1/7/2013,18/7/1995,IDEPT4308,IDEPT4308
SID20133442,1/7/2013,11/1/1996,IDEPT7783,IDEPT7783
SID20133455,1/7/2013,27/3/1996,IDEPT7005,IDEPT7005
SID20133467,1/7/2013,24/1/1996,IDEPT1825,IDEPT1825
SID20133468,1/7/2013,18/1/1996,IDEPT5528,IDEPT5528
SID20133486,1/7/2013,16/5/1996,IDEPT1615,IDEPT1615
SID20133486,1/7/2013,16/5/1996,IDEPT1367,IDEPT1615
SID20133497,1/7/2013,1/6/1996,IDEPT5408,IDEPT5408
SID20133506,1/7/2013,12/8/1995,IDEPT1825,IDEPT1825
SID20133506,1/7/2013,12/8/1995,IDEPT1836,IDEPT1825
SID20133507,1/7/2013,23/11/1995,IDEPT1142,IDEPT1142
SID20133520,1/7/2013,25/1/1996,IDEPT3868,IDEPT3868
SID20133527,1/7/2013,19/7/1995,IDEPT4132,IDEPT4132
SID20133542,1/7/2013,8/7/1995,IDEPT4938,IDEPT4938
SID20133549,1/7/2013,20/5/1996,IDEPT4670,IDEPT4670
SID20133560,1/7/2013,2/11/1995,IDEPT1836,IDEPT1836
SID20133561,1/7/2013,30/12/1995,IDEPT7626,IDEPT7626
SID20133618,1/7/2013,4/4/1996,IDEPT5528,IDEPT5528
SID20133625,1/7/2013,13/8/1995,IDEPT1677,IDEPT1677
SID20133626,1/7/2013,28/5/1996,IDEPT1142,IDEPT1142
SID20133628,1/7/2013,24/8/1995,IDEPT2601,IDEPT2601
SID20133658,1/7/2013,17/9/1995,IDEPT8473,IDEPT8473
SID20133680,1/7/2013,12/7/1995,IDEPT1615,IDEPT1615
SID20133690,1/7/2013,12/12/1995,IDEPT2357,IDEPT2357
SID20133719,1/7/2013,26/4/1996,IDEPT4055,IDEPT4055
SID20133729,1/7/2013,29/3/1996,IDEPT5528,IDEPT5528
SID20133731,1/7/2013,13/10/1995,IDEPT3868,IDEPT3868
SID20133750,1/7/2013,11/2/1996,IDEPT8379,IDEPT8379
SID20133751,1/7/2013,21/11/1995,IDEPT5564,IDEPT5564
SID20133756,1/7/2013,31/5/1996,IDEPT1533,IDEPT1533
SID20133758,1/7/2013,6/9/1995,IDEPT5127,IDEPT5127
SID20133797,1/7/2013,2/11/1995,IDEPT1825,IDEPT1825
SID20133807,1/7/2013,27/12/1995,IDEPT8598,IDEPT8598
SID20133809,1/7/2013,15/6/1996,IDEPT1378,IDEPT1378
SID20133812,1/7/2013,12/8/1995,IDEPT4055,IDEPT4055
SID20133819,1/7/2013,18/4/1996,IDEPT3115,IDEPT3115
SID20133822,1/7/2013,5/12/1995,IDEPT1677,IDEPT1677
SID20133823,1/7/2013,6/2/1996,IDEPT4670,IDEPT4670
SID20133843,1/7/2013,5/12/1995,IDEPT1836,IDEPT1836
SID20133848,1/7/2013,10/11/1995,IDEPT1423,IDEPT1423
SID20133854,1/7/2013,13/10/1995,IDEPT7626,IDEPT7626
SID20133872,1/7/2013,25/9/1995,IDEPT1367,IDEPT1367
SID20133911,1/7/2013,30/1/1996,IDEPT2601,IDEPT2601
SID20133920,1/7/2013,18/12/1995,IDEPT1423,IDEPT1423
SID20133932,1/7/2013,3/3/1996,IDEPT6347,IDEPT6347
SID20133955,1/7/2013,9/5/1996,IDEPT8473,IDEPT8473
SID20134007,1/7/2013,13/3/1996,IDEPT7005,IDEPT7005
SID20134016,1/7/2013,21/4/1996,IDEPT3868,IDEPT3868
SID20134062,1/7/2013,1/9/1995,IDEPT5127,IDEPT5127
SID20134063,1/7/2013,23/3/1996,IDEPT1378,IDEPT1378
SID20134101,1/7/2013,23/6/1996,IDEPT8598,IDEPT8598
SID20134103,1/7/2013,25/8/1995,IDEPT5564,IDEPT5564
SID20134138,1/7/2013,12/4/1996,IDEPT5109,IDEPT5109
SID20134143,1/7/2013,14/11/1995,IDEPT3868,IDEPT3868
SID20134156,1/7/2013,24/2/1996,IDEPT1096,IDEPT1096
SID20134156,1/7/2013,24/2/1996,IDEPT1533,IDEPT1096
SID20134161,1/7/2013,14/2/1996,IDEPT5881,IDEPT5881
SID20134161,1/7/2013,14/2/1996,IDEPT4132,IDEPT5881
SID20134168,1/7/2013,1/3/1996,IDEPT5408,IDEPT5408
SID20134173,1/7/2013,10/12/1995,IDEPT1615,IDEPT1615
SID20134176,1/7/2013,29/3/1996,IDEPT1533,IDEPT1533
SID20134178,1/7/2013,26/5/1996,IDEPT1836,IDEPT1836
SID20134198,1/7/2013,14/6/1996,IDEPT1423,IDEPT1423
SID20134214,1/7/2013,21/5/1996,IDEPT1378,IDEPT1378
SID20134227,1/7/2013,15/1/1996,IDEPT8313,IDEPT8313
SID20134240,1/7/2013,4/11/1995,IDEPT8598,IDEPT8598
SID20134249,1/7/2013,15/7/1995,IDEPT2054,IDEPT2054
SID20134260,1/7/2013,15/2/1996,IDEPT2601,IDEPT2601
SID20134273,1/7/2013,21/2/1996,IDEPT8473,IDEPT8473
SID20134273,1/7/2013,21/2/1996,IDEPT1533,IDEPT8473
SID20134275,1/7/2013,6/10/1995,IDEPT1615,IDEPT1615
SID20134333,1/7/2013,21/5/1996,IDEPT6347,IDEPT6347
SID20134351,1/7/2013,1/3/1996,IDEPT1533,IDEPT1533
SID20134363,1/7/2013,14/6/1996,IDEPT5127,IDEPT5127
SID20134382,1/7/2013,1/4/1996,IDEPT4938,IDEPT4938
SID20134384,1/7/2013,27/11/1995,IDEPT1615,IDEPT1615
SID20134409,1/7/2013,3/1/1996,IDEPT8825,IDEPT8825
SID20134421,1/7/2013,27/9/1995,IDEPT4055,IDEPT4055
SID20134424,1/7/2013,31/5/1996,IDEPT8598,IDEPT8598
SID20134428,1/7/2013,27/8/1995,IDEPT1836,IDEPT1836
SID20134445,1/7/2013,9/9/1995,IDEPT1142,IDEPT1142
SID20134454,1/7/2013,9/5/1996,IDEPT4670,IDEPT4670
SID20134476,1/7/2013,31/8/1995,IDEPT3115,IDEPT3115
SID20134484,1/7/2013,28/6/1996,IDEPT1677,IDEPT1677
SID20134491,1/7/2013,16/1/1996,IDEPT4670,IDEPT4670
SID20134504,1/7/2013,18/5/1996,IDEPT1378,IDEPT1378
SID20134538,1/7/2013,8/8/1995,IDEPT1615,IDEPT1615
SID20134541,1/7/2013,22/6/1996,IDEPT4670,IDEPT4670
SID20134563,1/7/2013,10/8/1995,IDEPT1388,IDEPT1388
SID20134581,1/7/2013,15/7/1995,IDEPT8825,IDEPT8825
SID20134601,1/7/2013,21/6/1996,IDEPT1142,IDEPT1142
SID20134602,1/7/2013,5/10/1995,IDEPT1096,IDEPT1096
SID20134602,1/7/2013,5/10/1995,IDEPT4132,IDEPT1096
SID20134607,1/7/2013,1/7/1996,IDEPT2357,IDEPT2357
SID20134637,1/7/2013,23/7/1995,IDEPT4938,IDEPT4938
SID20134645,1/7/2013,26/7/1995,IDEPT1677,IDEPT1677
SID20134659,1/7/2013,20/7/1995,IDEPT2601,IDEPT2601
SID20134683,1/7/2013,3/11/1995,IDEPT5528,IDEPT5528
SID20134703,1/7/2013,11/10/1995,IDEPT2054,IDEPT2054
SID20134703,1/7/2013,11/10/1995,IDEPT3062,IDEPT2054
SID20134704,1/7/2013,21/4/1996,IDEPT1142,IDEPT1142
SID20134723,1/7/2013,10/12/1995,IDEPT4308,IDEPT4308
SID20134757,1/7/2013,24/1/1996,IDEPT2601,IDEPT2601
SID20134761,1/7/2013,9/10/1995,IDEPT5564,IDEPT5564
SID20134792,1/7/2013,12/1/1996,IDEPT8825,IDEPT8825
SID20134805,1/7/2013,20/12/1995,IDEPT8379,IDEPT8379
SID20134816,1/7/2013,5/1/1996,IDEPT1142,IDEPT1142
SID20134820,1/7/2013,10/7/1995,IDEPT8379,IDEPT8379
SID20134828,1/7/2013,20/6/1996,IDEPT5109,IDEPT5109
SID20134829,1/7/2013,4/12/1995,IDEPT8379,IDEPT8379
SID20134830,1/7/2013,9/10/1995,IDEPT8313,IDEPT8313
SID20134852,1/7/2013,15/5/1996,IDEPT5564,IDEPT5564
SID20134870,1/7/2013,2/4/1996,IDEPT3062,IDEPT3062
SID20134889,1/7/2013,21/2/1996,IDEPT2601,IDEPT2601
SID20134891,1/7/2013,22/12/1995,IDEPT1378,IDEPT1378
SID20134894,1/7/2013,25/9/1995,IDEPT7783,IDEPT7783
SID20134899,1/7/2013,16/7/1995,IDEPT4670,IDEPT4670
SID20134900,1/7/2013,19/9/1995,IDEPT2054,IDEPT2054
SID20134904,1/7/2013,21/9/1995,IDEPT1537,IDEPT1537
SID20134904,1/7/2013,21/9/1995,IDEPT7005,IDEPT1537
SID20134923,1/7/2013,24/6/1996,IDEPT1388,IDEPT1388
SID20134974,1/7/2013,19/10/1995,IDEPT3868,IDEPT3868
SID20134979,1/7/2013,20/8/1995,IDEPT2425,IDEPT2425
SID20134991,1/7/2013,5/9/1995,IDEPT8473,IDEPT8473
SID20135002,1/7/2013,14/10/1995,IDEPT1423,IDEPT1423
SID20135020,1/7/2013,28/2/1996,IDEPT1142,IDEPT1142
SID20135023,1/7/2013,1/2/1996,IDEPT6347,IDEPT6347
SID20135072,1/7/2013,6/5/1996,IDEPT2601,IDEPT2601
SID20135073,1/7/2013,7/12/1995,IDEPT3778,IDEPT3778
SID20135090,1/7/2013,8/5/1996,IDEPT3778,IDEPT3778
SID20135098,1/7/2013,7/7/1995,IDEPT3868,IDEPT3868
SID20135100,1/7/2013,9/2/1996,IDEPT8379,IDEPT8379
SID20135122,1/7/2013,11/2/1996,IDEPT2601,IDEPT2601
SID20135142,1/7/2013,29/5/1996,IDEPT1677,IDEPT1677
SID20135146,1/7/2013,27/2/1996,IDEPT7005,IDEPT7005
SID20135153,1/7/2013,4/7/1996,IDEPT4670,IDEPT4670
SID20135154,1/7/2013,25/12/1995,IDEPT4308,IDEPT4308
SID20135166,1/7/2013,22/12/1995,IDEPT1096,IDEPT1096
SID20135169,1/7/2013,8/3/1996,IDEPT7783,IDEPT7783
SID20135178,1/7/2013,10/7/1995,IDEPT3115,IDEPT3115
SID20135211,1/7/2013,26/11/1995,IDEPT4670,IDEPT4670
SID20135226,1/7/2013,12/2/1996,IDEPT8473,IDEPT8473
SID20135261,1/7/2013,25/9/1995,IDEPT7626,IDEPT7626
SID20135280,1/7/2013,27/3/1996,IDEPT1142,IDEPT1142
SID20135282,1/7/2013,19/7/1995,IDEPT3062,IDEPT3062
SID20135291,1/7/2013,26/7/1995,IDEPT8313,IDEPT8313
SID20135297,1/7/2013,27/9/1995,IDEPT5528,IDEPT5528
SID20135298,1/7/2013,25/12/1995,IDEPT8313,IDEPT8313
SID20135307,1/7/2013,23/8/1995,IDEPT3868,IDEPT3868
SID20135312,1/7/2013,7/1/1996,IDEPT2357,IDEPT2357
SID20135331,1/7/2013,9/8/1995,IDEPT3778,IDEPT3778
SID20135339,1/7/2013,26/3/1996,IDEPT1142,IDEPT1142
SID20135364,1/7/2013,6/8/1995,IDEPT1423,IDEPT1423
SID20135373,1/7/2013,12/7/1995,IDEPT4308,IDEPT4308
SID20135377,1/7/2013,6/12/1995,IDEPT3062,IDEPT3062
SID20135382,1/7/2013,18/7/1995,IDEPT3062,IDEPT3062
SID20135405,1/7/2013,31/1/1996,IDEPT4308,IDEPT4308
SID20135406,1/7/2013,8/3/1996,IDEPT1836,IDEPT1836
SID20135426,1/7/2013,26/11/1995,IDEPT1423,IDEPT1423
SID20135426,1/7/2013,26/11/1995,IDEPT6347,IDEPT1423
SID20135446,1/7/2013,20/5/1996,IDEPT5127,IDEPT5127
SID20135449,1/7/2013,13/7/1995,IDEPT2357,IDEPT2357
SID20135456,1/7/2013,5/11/1995,IDEPT2601,IDEPT2601
SID20135459,1/7/2013,29/12/1995,IDEPT1378,IDEPT1378
SID20135469,1/7/2013,5/5/1996,IDEPT5127,IDEPT5127
SID20135484,1/7/2013,18/12/1995,IDEPT1615,IDEPT1615
SID20135512,1/7/2013,10/5/1996,IDEPT8598,IDEPT8598
SID20135545,1/7/2013,10/9/1995,IDEPT2425,IDEPT2425
SID20135559,1/7/2013,21/4/1996,IDEPT5109,IDEPT5109
SID20135569,1/7/2013,26/9/1995,IDEPT5881,IDEPT5881
SID20135571,1/7/2013,6/5/1996,IDEPT2601,IDEPT2601
SID20135573,1/7/2013,24/1/1996,IDEPT5881,IDEPT5881
SID20135623,1/7/2013,22/5/1996,IDEPT7783,IDEPT7783
SID20135638,1/7/2013,9/4/1996,IDEPT4055,IDEPT4055
SID20135654,1/7/2013,22/10/1995,IDEPT8313,IDEPT8313
SID20135657,1/7/2013,6/11/1995,IDEPT3062,IDEPT3062
SID20135661,1/7/2013,7/7/1995,IDEPT8598,IDEPT8598
SID20135672,1/7/2013,8/8/1995,IDEPT7783,IDEPT7783
SID20135675,1/7/2013,10/4/1996,IDEPT4055,IDEPT4055
SID20135678,1/7/2013,8/1/1996,IDEPT3115,IDEPT3115
SID20135684,1/7/2013,16/2/1996,IDEPT4132,IDEPT4132
SID20135684,1/7/2013,16/2/1996,IDEPT1677,IDEPT4132
SID20135687,1/7/2013,3/5/1996,IDEPT5528,IDEPT5528
SID20135700,1/7/2013,21/12/1995,IDEPT4938,IDEPT4938
SID20135707,1/7/2013,10/8/1995,IDEPT1378,IDEPT1378
SID20135717,1/7/2013,23/12/1995,IDEPT1825,IDEPT1825
SID20135731,1/7/2013,29/5/1996,IDEPT1423,IDEPT1423
SID20135775,1/7/2013,21/2/1996,IDEPT2425,IDEPT2425
SID20135785,1/7/2013,9/6/1996,IDEPT2357,IDEPT2357
SID20135789,1/7/2013,8/4/1996,IDEPT4055,IDEPT4055
SID20135792,1/7/2013,17/8/1995,IDEPT5881,IDEPT5881
SID20135793,1/7/2013,13/7/1995,IDEPT6347,IDEPT6347
SID20135820,1/7/2013,28/10/1995,IDEPT8379,IDEPT8379
SID20135822,1/7/2013,24/4/1996,IDEPT1537,IDEPT1537
SID20135859,1/7/2013,21/3/1996,IDEPT1096,IDEPT1096
SID20135870,1/7/2013,21/8/1995,IDEPT1537,IDEPT1537
SID20135873,1/7/2013,4/7/1996,IDEPT5564,IDEPT5564
SID20135890,1/7/2013,21/9/1995,IDEPT8473,IDEPT8473
SID20135897,1/7/2013,27/12/1995,IDEPT4132,IDEPT4132
SID20135905,1/7/2013,1/6/1996,IDEPT5528,IDEPT5528
SID20135919,1/7/2013,12/11/1995,IDEPT8473,IDEPT8473
SID20135919,1/7/2013,12/11/1995,IDEPT2054,IDEPT8473
SID20135936,1/7/2013,22/3/1996,IDEPT1533,IDEPT1533
SID20135945,1/7/2013,28/4/1996,IDEPT2601,IDEPT2601
SID20135953,1/7/2013,6/5/1996,IDEPT5528,IDEPT5528
SID20136006,1/7/2013,28/1/1996,IDEPT7626,IDEPT7626
SID20136013,1/7/2013,23/2/1996,IDEPT3868,IDEPT3868
SID20136021,1/7/2013,9/8/1995,IDEPT1537,IDEPT1537
SID20136023,1/7/2013,11/7/1995,IDEPT8473,IDEPT8473
SID20136032,1/7/2013,27/3/1996,IDEPT5564,IDEPT5564
SID20136041,1/7/2013,30/5/1996,IDEPT6347,IDEPT6347
SID20136060,1/7/2013,18/12/1995,IDEPT6347,IDEPT6347
SID20136067,1/7/2013,25/4/1996,IDEPT7783,IDEPT7783
SID20136079,1/7/2013,5/12/1995,IDEPT2601,IDEPT2601
SID20136094,1/7/2013,2/5/1996,IDEPT1825,IDEPT1825
SID20136097,1/7/2013,7/3/1996,IDEPT5564,IDEPT5564
SID20136107,1/7/2013,20/12/1995,IDEPT2054,IDEPT2054
